"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000180902",247.502982221225,-0.0337523473605869,0.227466094469585,-0.148384080885954,0.882039662608231,0.934143843892987
"ENSG00000187514",24514.9903013219,0.0155975777229712,0.105287107453141,0.148143282689317,0.882229691630576,0.934221381355272
"ENSG00000166130",176.682283470609,0.0366503610535368,0.247438026802929,0.148119355489069,0.88224857446166,0.934221381355272
"ENSG00000137802",244.356696333329,-0.0307889397196871,0.208237427959056,-0.147854975070768,0.882457222246074,0.934370462404352
"ENSG00000165716",126.020805989693,-0.0416244100193115,0.281727238761153,-0.147747197616914,0.882542282047474,0.93438867216545
"ENSG00000152076",43.1666071946232,0.07260598208948,0.493900823970268,0.147005185182381,0.88312792760455,0.934793083885843
"ENSG00000186666",146.307759317418,0.0363209768476166,0.246897510797391,0.147109530307992,0.883045567624973,0.934793083885843
"ENSG00000132801",109.845776904563,0.0418288002336772,0.284498233284972,0.147026572891856,0.883111046106261,0.934793083885843
"ENSG00000188315",180.568939365081,0.0340387529341124,0.231755189645767,0.146873746327493,0.883231674559105,0.934831034438029
"ENSG00000085274",353.333828960857,0.0255570753061716,0.174591872919937,0.146381815366007,0.883619981910531,0.934882705619034
"ENSG00000168826",111.780958604268,-0.043021142131807,0.293626636940928,-0.146516482904996,0.883513678854199,0.934882705619034
"ENSG00000197451",3317.74081307162,-0.0195812402147074,0.133529711330973,-0.146643320198397,0.883413558708311,0.934882705619034
"ENSG00000280789",166.854224297923,-0.0361959736790985,0.247248424669792,-0.146395164003327,0.883609444749461,0.934882705619034
"ENSG00000167183",662.753858633465,0.0231156052455407,0.157881577413145,0.146411035564028,0.883596916067333,0.934882705619034
"ENSG00000198353",71.8310330306778,-0.04966380019762,0.340236896207443,-0.145968296652165,0.883946415927886,0.935085673951343
"ENSG00000129990",7.78922431292515,-0.154950783451763,1.06154857279602,-0.145966738991168,0.883947645591595,0.935085673951343
"ENSG00000176386",852.179325188169,0.0211640578308046,0.145316556642082,0.145641063343747,0.884204749725662,0.93528579541927
"ENSG00000142156",4903.05501036529,0.017040615150424,0.117157698080846,0.145450238691656,0.884355401618821,0.935373292740017
"ENSG00000174938",1451.33361868362,-0.0199058162372958,0.137149110753863,-0.145139958457478,0.884600370008609,0.935560526511141
